38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2010,,,2010,,,2010,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,14.65,-,-,23.54,-,-,20.98
SUMATERA UTARA,-,-,11.34,-,-,11.29,-,-,11.31
SUMATERA BARAT,-,-,6.84,-,-,10.88,-,-,9.5
RIAU,-,-,7.17,-,-,10.15,-,-,8.65
JAMBI,-,-,11.8,-,-,6.67,-,-,8.34
SUMATERA SELATAN,-,-,16.73,-,-,14.67,-,-,15.47
BENGKULU,-,-,18.75,-,-,18.05,-,-,18.3
LAMPUNG,-,-,14.3,-,-,20.65,-,-,18.94
KEP. BANGKA BELITUNG,-,-,4.39,-,-,8.45,-,-,6.51
KEP. RIAU,-,-,7.87,-,-,8.24,-,-,8.05
DKI JAKARTA,-,-,3.48,-,-,-,-,-,3.48
JAWA BARAT,-,-,9.43,-,-,13.88,-,-,11.27
JAWA TENGAH,-,-,14.33,-,-,18.66,-,-,16.56
DI YOGYAKARTA,-,-,13.98,-,-,21.95,-,-,16.83
JAWA TIMUR,-,-,10.58,-,-,19.74,-,-,15.26
BANTEN,-,-,4.99,-,-,10.44,-,-,7.16
BALI,-,-,4.04,-,-,6.02,-,-,4.88
NUSA TENGGARA BARAT,-,-,28.16,-,-,16.78,-,-,21.55
NUSA TENGGARA TIMUR,-,-,13.57,-,-,25.1,-,-,23.03
KALIMANTAN BARAT,-,-,6.31,-,-,10.06,-,-,9.02
KALIMANTAN TENGAH,-,-,4.03,-,-,8.19,-,-,6.77
KALIMANTAN SELATAN,-,-,4.54,-,-,5.69,-,-,5.21
KALIMANTAN TIMUR,-,-,4.02,-,-,13.66,-,-,7.66
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,7.75,-,-,10.14,-,-,9.1
SULAWESI TENGAH,-,-,9.82,-,-,20.26,-,-,18.07
SULAWESI SELATAN,-,-,4.7,-,-,14.88,-,-,11.6
SULAWESI TENGGARA,-,-,4.1,-,-,20.92,-,-,17.05
GORONTALO,-,-,6.29,-,-,30.89,-,-,23.19
SULAWESI BARAT,-,-,9.7,-,-,15.52,-,-,13.58
MALUKU,-,-,10.2,-,-,33.94,-,-,27.74
MALUKU UTARA,-,-,2.66,-,-,12.28,-,-,9.42
PAPUA BARAT,-,-,5.73,-,-,43.48,-,-,34.88
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,5.55,-,-,46.02,-,-,36.8
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,9.87,-,-,16.56,-,-,13.33
