38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2019,,,2019,,,2019,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,9.68,9.47,-,18.03,17.68,-,15.32,15.01,-
SUMATERA UTARA,8.56,8.39,-,9.14,8.93,-,8.83,8.63,-
SUMATERA BARAT,4.76,4.71,-,7.88,7.69,-,6.42,6.29,-
RIAU,6.28,6,-,7.62,7.51,-,7.08,6.9,-
JAMBI,9.81,9.75,-,6.53,6.44,-,7.6,7.51,-
SUMATERA SELATAN,12.19,11.94,-,13.02,12.93,-,12.71,12.56,-
BENGKULU,14.7,14.13,-,15.49,15.3,-,15.23,14.91,-
LAMPUNG,8.92,8.6,-,14.27,13.96,-,12.62,12.3,-
KEP. BANGKA BELITUNG,2.85,2.98,-,6.79,6.38,-,4.62,4.5,-
KEP. RIAU,5.33,5.26,-,11.04,10.67,-,5.9,5.8,-
DKI JAKARTA,3.47,3.42,-,-,-,-,3.47,3.42,-
JAWA BARAT,6.03,5.98,-,9.79,9.58,-,6.91,6.82,-
JAWA TENGAH,9.2,8.99,-,12.48,12.26,-,10.8,10.58,-
DI YOGYAKARTA,10.89,10.62,-,13.89,13.67,-,11.7,11.44,-
JAWA TIMUR,6.84,6.77,-,14.43,14.16,-,10.37,10.2,-
BANTEN,4.12,4,-,7.49,7.31,-,5.09,4.94,-
BALI,3.29,3.04,-,4.88,4.86,-,3.79,3.61,-
NUSA TENGGARA BARAT,15.74,14.85,-,13.45,12.97,-,14.56,13.88,-
NUSA TENGGARA TIMUR,8.84,8.34,-,24.91,24.45,-,21.09,20.62,-
KALIMANTAN BARAT,4.6,4.61,-,9.05,8.73,-,7.49,7.28,-
KALIMANTAN TENGAH,4.47,4.28,-,5.33,5.17,-,4.98,4.81,-
KALIMANTAN SELATAN,3.53,3.47,-,5.47,5.36,-,4.55,4.47,-
KALIMANTAN TIMUR,4.31,4.29,-,9.31,9.26,-,5.94,5.91,-
KALIMANTAN UTARA,5.1,4.86,-,9.02,9,-,6.63,6.49,-
SULAWESI UTARA,5.01,4.95,-,10.56,10.3,-,7.66,7.51,-
SULAWESI TENGAH,9.32,8.9,-,15.26,15.01,-,13.48,13.18,-
SULAWESI SELATAN,4.44,4.22,-,11.95,11.9,-,8.69,8.56,-
SULAWESI TENGGARA,6.81,6.81,-,14.09,13.77,-,11.24,11.04,-
GORONTALO,4.21,3.99,-,23.79,23.57,-,15.52,15.31,-
SULAWESI BARAT,9.63,9.41,-,11.45,11.43,-,11.02,10.95,-
MALUKU,5.84,6.09,-,26.83,26.63,-,17.69,17.65,-
MALUKU UTARA,4.27,4.24,-,7.78,7.99,-,6.77,6.91,-
PAPUA BARAT,5.63,5.47,-,34.19,33.2,-,22.17,21.51,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,4.26,4.53,-,36.84,35.36,-,27.53,26.55,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,6.69,6.56,-,12.85,12.6,-,9.41,9.22,-
